Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
15:10:35_17.05.2019,train,[0/10],[0/6],0.03616924,0.0078,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:10:59_17.05.2019,train,[0/10],[1/6],0.06251093,0.0234,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
15:11:22_17.05.2019,train,[0/10],[2/6],0.01334441,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:11:47_17.05.2019,train,[0/10],[3/6],0.00755743,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
15:12:12_17.05.2019,train,[0/10],[4/6],0.00433946,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
15:12:30_17.05.2019,train,[0/10],[5/6],0.00285564,0.0938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000
15:12:42_17.05.2019,valid,[0/10],[0/6],0.00325844,0.0156,0.000,-1.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,0.125,-1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
15:12:54_17.05.2019,train,[1/10],[0/6],0.00231316,0.0312,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000
15:13:21_17.05.2019,train,[1/10],[1/6],0.00187796,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000
15:13:46_17.05.2019,train,[1/10],[2/6],0.00166432,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.125
15:14:10_17.05.2019,train,[1/10],[3/6],0.00139570,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
15:14:34_17.05.2019,train,[1/10],[4/6],0.00112587,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:14:51_17.05.2019,train,[1/10],[5/6],0.00170916,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:15:03_17.05.2019,valid,[1/10],[0/6],0.00220259,0.0357,-1.000,-1.000,0.000,-1.000,-1.000,0.000,-1.000,0.125,0.125,-1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
15:15:15_17.05.2019,train,[2/10],[0/6],0.00125347,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
15:31:36_18.05.2019,train,[2/10],[0/6],0.00112767,0.0312,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.250
15:48:20_18.05.2019,train,[0/10],[0/6],0.04422871,0.0156,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
15:48:44_18.05.2019,train,[0/10],[1/6],0.06122421,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:49:06_18.05.2019,train,[0/10],[2/6],0.02116362,0.0078,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15:49:30_18.05.2019,train,[0/10],[3/6],0.01071208,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
